sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present1_absent0,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,sampling_method_tow_type,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow,LAT_DD_JL,LON_DD_JL,Depth_m_v21_50m,Depth_m_v21_1km,Dist2Shore_m,Near_Island,X_shore,Y_shore,DistTo30m_m,X_30m,Y_30m
OES1106084Etel.01,PICDR-113137,08/13/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Hawaii,17nm W of Big Island,84,pelagic,19.688666667,-156.36533333333,19.7745,0,dmm,9/5/2011,9,5,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,130,,12.04,3 knots tow speed,,night,0,NA,23,1,Oscar Elton Sette_9/5/2011_84_night,1,8306220,whole,"""headrope footage??""",Bob Humphries,"O'Malley, J",PIFSC,6,#REF!,25,FL,25,NA,NA,NA,25,von Bertalanffy,NA,NA,0 lutjanid larvae,17,NA,NA,SE-1106_01,19°42.167' N,156° 14.516' W,dms,09/01/2011,"min temp listed is average of surface to AT DEPTH, max temp is temp at surface",NA,34.913,23.523,26.471,4.347,,,0,19.68867,-156.365,-4687.38,-4690.95,32109.75,Hawaii,-156.062,19.72758,31974.23,-156.063,19.7271
Oscar Elton Sette_11_06station100,PICDR-113145,09/18/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113145,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,100,"leeward, pelagic",19.633666667,-156.31616666667,,,dmm,9/07/2011,9,07,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,145,,13.43,,,night,0,,failed,0,Oscar Elton Sette_9/07/2011_100_night,0,9264630,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,dd,,1,,35.0444,23.5233,26.471,,,,0,19.63367,-156.316,-4611.68,-4632.01,28624.29,Hawaii,-156.062,19.72758,28470.96,-156.063,19.7262
Oscar Elton Sette_11_06station107,PICDR-113146,09/19/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113146,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,107,"leeward, pelagic",19.031783333,-156.13420000000,,,dmm,9/08/2011,9,08,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,144,,13.33,,,night,0,,114,0,Oscar Elton Sette_9/08/2011_107_night,0,9200000,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,NA,,,,,,,,0,19.03178,-156.134,-3519.32,-3506.22,24428.03,Hawaii,-155.915,19.10522,24346.19,-155.916,19.10447
Oscar Elton Sette_11_06station116,PICDR-113147,09/20/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113147,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,116,"leeward, pelagic",19.649333333,-156.34516666667,,,dmm,9/09/2011,9,09,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,145,,13.43,,,night,0,,116,0,Oscar Elton Sette_9/09/2011_116_night,0,9264630,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,1,,35.0444,23.5233,26.471,,,,29,19.64933,-156.345,-4661.3,-4654.86,30945.94,Hawaii,-156.062,19.72758,30800.35,-156.063,19.72665
Oscar Elton Sette_11_06station133,PICDR-113148,09/21/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113148,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,133,"leeward, pelagic",20.767833333,-157.47383333333,,,dmm,9/10/2011,9,10,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,149,,13.80,,,night,0,,111,0,Oscar Elton Sette_9/10/2011_133_night,0,9520206,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,NA,,,,,,,,10,20.76783,-157.474,-2703.51,-2703.88,40290.61,Molokai,-157.305,21.09518,38983.18,-157.296,21.07764
Oscar Elton Sette_11_06station20,PICDR-113139,09/12/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113139,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,20,"leeward, pelagic",20.130066667,-155.99555000000,,,dmm,8/30/2011,8,30,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,146,,13.52,,,night,0,,52,0,Oscar Elton Sette_8/30/2011_20_night,0,9328524,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,NA,,,,,,,,0,20.13007,-155.996,-705.42,-736.232,10514.43,Hawaii,-155.896,20.14249,10108.22,-155.899,20.14002
Oscar Elton Sette_11_06station31,PICDR-113140,09/13/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113140,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,31,"leeward, pelagic",19.709333333,-156.18016666667,,,dmm,8/31/2011,8,31,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,150,,13.89,,,night,0,,62,0,Oscar Elton Sette_8/31/2011_31_night,0,9584100,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,3,,35.03085,23.48658,26.051,,,,0,19.70933,-156.18,-2843.89,-2820.98,12569.46,Hawaii,-156.062,19.72758,12432.94,-156.063,19.72707
Oscar Elton Sette_11_06station44,PICDR-113141,09/14/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113141,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,44,"leeward, pelagic",19.699333333,-156.28600000000,,,dmm,9/01/2011,9,01,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,137,,12.69,,,night,0,,23,0,Oscar Elton Sette_9/01/2011_44_night,0,8753478,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,1,,35.0444,23.5233,26.471,,,,0,19.69933,-156.286,-4510.38,-4553.31,23708.62,Hawaii,-156.062,19.72758,23573.18,-156.063,19.7271
Oscar Elton Sette_11_06station54,PICDR-113142,09/15/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113142,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,54,"leeward, pelagic",19.540333333,-156.09583333333,,,dmm,9/02/2011,9,02,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,148,,13.70,,,night,0,,127,0,Oscar Elton Sette_9/02/2011_54_night,0,9456312,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,5,,35.04723,24.08099,26.932,,,,2,19.54033,-156.096,-2168.17,-2192.25,13604.91,Hawaii,-155.967,19.55247,12963.43,-155.974,19.56133
Oscar Elton Sette_11_06station66,PICDR-113143,09/16/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113143,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,66,"leeward, pelagic",19.522100000,-156.23038333333,,,dmm,9/03/2011,9,03,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,148,,13.70,,,night,0,,108,0,Oscar Elton Sette_9/03/2011_66_night,0,9456312,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,7,,35.08268,23.8894,26.66134,,,,0,19.5221,-156.23,-4282.69,-4276.46,25385.95,Hawaii,-156.03,19.65054,25242.83,-156.032,19.65075
Oscar Elton Sette_11_06station76,PICDR-113144,09/17/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113144,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,76,"leeward, pelagic",19.628166667,-156.32883333333,,,dmm,9/04/2011,9,04,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,147,,13.61,,,night,0,,105,0,Oscar Elton Sette_9/04/2011_76_night,0,9392418,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,1,,35.0444,23.5233,26.471,,,,10,19.62817,-156.329,-4624.18,-4632.66,30083.46,Hawaii,-156.062,19.72758,29929.84,-156.063,19.7262
Oscar Elton Sette_11_06station9,PICDR-113138,09/11/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113138,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,15-20nm lee,9,"leeward, pelagic",20.043600000,-156.09081666667,,,dmm,8/29/2011,8,29,2011,08/28/2011-09/11/2011,Oscar Elton Sette,11_06,COBB TRAWL,1000,690,,,3,knots,145,,13.43,,,night,0,,65,0,Oscar Elton Sette_8/29/2011_9_night,0,9264630,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,17.5,,,,,,,,NA,,,,,,,,0,20.0436,-156.091,-932.127,-929.558,22690.57,Hawaii,-155.891,20.1243,22323.5,-155.895,20.12278
Oscar Elton Sette_12_06station12,PICDR-113152,09/25/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113152,none,Cruise Report,larv,,0,Main Hawaiian Islands,Niihau,25nm W of leeward,12,"leeward, pelagic",21.832350000,-160.73690000000,,,dmm,8/15/2012,8,15,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,341,,31.58,,,night,0,,170,0,Oscar Elton Sette_8/15/2012_12_night,0,21787854,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,25,,,,,,,,4,,35.20641,22.12806,26.41983,,,,4,21.83235,-160.737,-3325.42,-3454.78,27886.03,Kaula,-160.541,21.65933,27538.18,-160.547,21.65826
Oscar Elton Sette_12_06station13,PICDR-113153,09/26/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113153,none,Cruise Report,larv,,0,Main Hawaiian Islands,Niihau,25nm W of leeward,13,"leeward, pelagic",21.815716667,-160.76318333333,,,dmm,8/16/2012,8,16,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,375,,34.73,,,night,0,,170,0,Oscar Elton Sette_8/16/2012_13_night,0,23960250,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,25,,,,,,,,4,,35.20641,22.12806,26.41983,,,,1,21.81572,-160.763,-3804.6,-3758.77,28769.68,Kaula,-160.542,21.65881,28373.82,-160.547,21.65801
Oscar Elton Sette_12_06station16,PICDR-113154,09/27/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113154,none,Cruise Report,larv,,0,Main Hawaiian Islands,Niihau,50nm W of leeward,16,"leeward, pelagic",21.824783333,-161.19115000000,,,dmm,8/16/2012,8,16,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,376,,34.82,,,night,0,,170,0,Oscar Elton Sette_8/16/2012_16_night,0,24024144,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,50,,,,,,,,5,,35.18737,21.59288,25.88547,,,,14,21.82478,-161.191,,-4513.44,69489.81,Kaula,-160.545,21.65349,69119.98,-160.548,21.6568
Oscar Elton Sette_12_06station17,PICDR-113155,09/28/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113155,none,Cruise Report,larv,,0,Main Hawaiian Islands,Niihau,50nm W of leeward,17,"leeward, pelagic",21.827000000,-161.22038333333,,,dmm,8/17/2012,8,17,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,373,,34.54,,,night,0,,170,0,Oscar Elton Sette_8/17/2012_17_night,0,23832462,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,50,,,,,,,,5,,35.18737,21.59288,25.88547,,,,28,21.827,-161.22,-4517.68,-4518.56,72468.03,Kaula,-160.545,21.65349,72100.41,-160.548,21.6568
Oscar Elton Sette_12_06station20,PICDR-113156,09/29/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113156,none,Cruise Report,larv,,0,Main Hawaiian Islands,Niihau,75nm W of leeward,20,"leeward, pelagic",21.830466667,-161.66516666667,,,dmm,8/17/2012,8,17,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,378,,35.00,,,night,0,,170,0,Oscar Elton Sette_8/17/2012_20_night,0,24151932,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,75,,,,,,,,6,,35.2179,21.66004,25.97028,,,,1,21.83047,-161.665,,-4589.61,117530.8,Kaula,-160.545,21.65344,117190.5,-160.548,21.65643
