sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present_absent,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow
AMS I.32036,email,23/08/2021,Gento Shinohara,"""Aprion virescens larval or juvenile specimens""",museum collection record,English,"museum record, NA","email from Gento, so far no env info",NA,NA,larv,none,1,East China Sea,Tukuno,"East China Sea, approx. 95 km NE of Tukuno Island",NA,NA,27.903333333,127.66000000000,27.89833333,0,dmm,3-Jul-84,7,3,1984,3-Jul-84,R/V Hakuho-maru,KH-84-2 7/4 PN-5-2A,NA,,,,,,,,,#N/A,14:13,day,NA,NA,NA,1,R/V Hakuho-maru_7/3/1984_NA_day,NA,NA,whole,"NA, given to Tokyo Museum by Australian museum but specimens are not in Specimen ROom at Tokyo Museum and are not listed on most recent specimen record from Australian Museum",Australian Museum,NA,NA,7,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,,,-1119,google_earth,
I.23566-017,email,25/03/2020,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23566-017,"Leis & Lee, 1994. Ete",larv,none,1,Main Hawaiian Islands,Oahu,lee of Oahu,"July 5 - ST6 TOW2 26 ILL., 25",NA,21.000000000,-158.00000000000,NA,NA,dmm,07/05/1972,7,5,1972,1971 - 1973,RV Teritu,RVTeritu_unkown,small bongo net,,,,,2,m/s,30,,#N/A,"July 5 - ST6 TOW2 26 ILL., 25; TA Clarke notes lists 72-7-6, 120m, night (SBongo net tows- 5-7 July 1972, 30min at 2m/sec)",night,0,NA,120,1,"RV Teritu_7/5/1972_July 5 - ST6 TOW2 26 ILL., 25_night",NA,NA,whole,Australian Museum,"Clarke, T.","Leis, J.M. Ph.D.",Australian Museum - Ichthyology,6,NA,4.4,TL,NA,NA,NA,4.4,NA,NA,8070914,NA,NA,NA,NA,NA,"July 5 - ST6 TOW2 26 ILL., 25; TA Clarke notes list July 4-5 (SBongo net tows- 5-7 July 1972, 55m, 30min at 2m/sec)",,,,,specimen 39 form AuMu notes,,,,,,,,
I.23570-056,email,25/03/2021,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23570-056,Material examined,larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,Barfer X tow 1,NA,21.333333333,-158.18333333333,NA,NA,dmm,9 September 1975,9,9,1975,1973 - 1975,Valiant Maid or skiff,1975_leisPhD,NA,,,,,,,,,#N/A,,NA,,NA,,1,Valiant Maid or skiff_9/9/1975_Barfer X tow 1_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, J.M. Ph.D.",Australian Museum - Ichthyology,6,NA,4,SL,NA,NA,4,NA,NA,NA,8071013,NA,NA,NA,NA,NA,Barfer X tow 1,,,,,NA,,,,,,,,
I.23599-008,email,25/03/2022,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23599-008,"Material examined - Leis & Lee, 1994. Eteline Larval Development.",larv,none,1,Main Hawaiian Islands,Oahu,Mokapu,NA,NA,21.466666667,-157.75000000000,NA,NA,dmm,June 1976,6,NA,1976,1975 - 1978,NA,1976_unknown,METRE NET,505,0.7853981634,1,,,,,,#N/A,,NA,,NA,,1,NA_6/NA/1976_NA_NA,NA,NA,whole,Australian Museum,"Cattell, S.A. ","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,6.1,TL,NA,NA,NA,6.1,NA,NA,8071305,NA,NA,NA,NA,NA,,,,,,NA,,,,,,,,
I.23599-009,email,25/03/2023,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23599-009,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2). D",larv,none,1,Main Hawaiian Islands,Oahu,Mokapu,NA,NA,21.466666667,-157.75000000000,NA,NA,dmm,4 June 1976,6,4,1976,1975 - 1978,NA,1976_unknown,METRE NET,505,0.7853981634,1,,,,,,#N/A,,NA,,NA,,1,NA_6/4/1976_NA_NA,NA,NA,whole,Australian Museum,"Cattell, S.A. ","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8071306,NA,NA,NA,NA,NA,,,,,,NA,,,,,,,,
I.23603-011,email,25/03/2024,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23603-011,"Material examined - Leis & Lee, 1994. Eteline Larval Develo",larv,none,1,Main Hawaiian Islands,Oahu,off Oahu,NA,pelagic,21.250000000,-157.66666666667,NA,NA,dmm,72-10-4,10,4,1972,10/1972 - 10/1972,NA,1972_unknown,IKMT,,,,,,,,,#N/A,,NA,,NA,,1,NA_10/4/1972_NA_NA,NA,NA,whole,Australian Museum,"van Sant, J.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,18,SL,NA,NA,18,NA,NA,NA,8071336,NA,NA,NA,NA,NA,,,,,,NA,,,,,,,,
I.23728-003,email,25/03/2025,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23728-003,NA,larv,none,1,"Queensland, Australia",Lizard Island area,lee of Carter Reef,NA,NA,-14.550000000,145.58333333333,NA,NA,dmm,27/02/1983,2,27,1983,27/02/1983 - 27/02/1983,NA,NA,PLANKTON NET,,,,,,,,,#N/A,,NA,,NA,,1,NA_2/27/1983_NA_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8071858,NA,NA,NA,NA,NA,,,,,,NA,,,,,,,,
I.23818-003,email,25/03/2026,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23818-003,"""Nearshore Distributional Gradients of Larval Fish (15 Taxa) and Planktonic Crustaceans"" Marine Biology. 1982. J Leis.",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,HECO 5+a6 Tow4  27 Ill,NA,21.333333333,-158.18333333333,NA,NA,dmm,5 July 1974,7,5,1974,15/07/1974 - 16/07/1974,Valiant Maid or skiff,1974_leisPhD,RING NET,505,,1.0 or 0.7m diamteter ring net,,,,,,#N/A,station info from other_remarks column of AuMu sheet,NA,,NA,,1,Valiant Maid or skiff_7/5/1974_HECO 5+a6 Tow4  27 Ill_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,5,TL,NA,NA,NA,5,NA,NA,8072313,NA,NA,NA,NA,NA,HECO 5+a6 Tow4  27 Ill,,,,,NA,,,,,,,,
I.23818-005,email,25/03/2027,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23818-005,,larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,#10 top,nearshore,21.333333333,-158.18333333333,NA,NA,dmm,15-16 July,7,15,1974,15/07/1974 - 16/07/1974,Valiant Maid or skiff,1974_leisPhD,RING NET,505,,1.0 or 0.7m diamteter ring net,,,,,,#N/A,,NA,,NA,,1,Valiant Maid or skiff_7/15/1974_#10 top_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,3.3,TL,NA,NA,NA,3.3,NA,NA,8072315,NA,NA,NA,NA,NA,#10 top,,,,,one of 3 larvae sized 3.2-3.4; took average of this range over 3,,,,,,,,
I.23818-006,email,25/03/2028,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.23818-006,,larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,#7 deep,nearshore,21.333333333,-158.18333333333,NA,NA,dmm,15-16 July,7,15,1974,15/07/1974 - 16/07/1974,Valiant Maid or skiff,1974_leisPhD,RING NET,505,,1.0 or 0.7m diamteter ring net,,,,,,#N/A,,NA,,NA,,1,Valiant Maid or skiff_7/15/1974_#7 deep_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,3.3,TL,NA,NA,NA,3.3,NA,NA,8072316,NA,NA,NA,NA,NA,#7 deep,,,,,one of 3 larvae sized 3.2-3.4; took average of this range over 3,,,,,,,,
I.24883-002,email,25/03/2029,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.24883-002,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"Queensland, Australia",Coral Sea,2.5 miles off Yonge Reef,NA,NA,-14.600000000,145.66666666667,NA,NA,dmm,03/11/1984,3,11,1984,03/11/1984 - 03/11/1984,NA,NA,NA,,,,,,,,,#N/A,,NA,,NA,,1,NA_3/11/1984_NA_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,3,SL,NA,NA,3,NA,NA,NA,8077879,NA,NA,NA,NA,NA,,,,,,"was, 145° 46' E, andrea changed this based off description, 2.5miles along lat.",,,,,,-722,google_earth,
I.24998-003,email,25/03/2030,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.24998-003,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci.",larv,none,1,Main Hawaiian Islands,Oahu,West coast,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,71-9-3,9,18,1971,02/09/1971 - 07/09/1971,RV Teritu,Luna I,IK,333,322.58,,3.048,4,knots,92,,11.35893333,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,15,1,RV Teritu_9/18/1971_NA_NA,3,3664164.715,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078531,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,site information replaced from Australian musuem record with TA Clarke personal notes,,,,,,,,
I.24998-004,email,25/03/2031,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.24998-004,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci.",larv,none,1,Main Hawaiian Islands,Oahu,West coast,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,71-9-3,9,18,1971,02/09/1971 - 07/09/1971,RV Teritu,Luna I,IK,333,322.58,,3.048,4,knots,92,,11.35893333,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,15,1,RV Teritu_9/18/1971_NA_NA,3,3664164.715,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,7,SL,NA,NA,7,7.1,NA,NA,8078532,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.24998-005,email,25/03/2032,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.24998-005,"Material examined - Leis & Lee, 1994. Eteline Larval Developm",larv,none,1,Main Hawaiian Islands,Oahu,West coast,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,71-9-2,9,17,1971,02/09/1971 - 07/09/1971,RV Teritu,Luna I,IK,333,322.58,,3.048,4,knots,89,,10.98853333,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,60,1,RV Teritu_9/17/1971_NA_NA,1,3544681.083,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,12.3,TL,NA,NA,NA,12.3,NA,NA,8078533,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.24998-006,email,25/03/2033,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.24998-006,"Material examined - Leis & Lee, 1994. Eteline Larval Development.",larv,none,1,Main Hawaiian Islands,Oahu,West coast,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,71-9-7,9,19,1971,02/09/1971 - 07/09/1971,RV Teritu,Luna I,IK,333,322.58,,3.048,4,knots,92,,11.35893333,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,45,1,RV Teritu_9/19/1971_NA_NA,1,3664164.715,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,8,SL,NA,NA,8,NA,NA,NA,8078534,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.24998-012,email,25/03/2034,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.24998-012,"Material examined - Leis & Lee,",larv,none,1,Main Hawaiian Islands,Oahu,West coast,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,71-9-3,9,18,1971,02/09/1971 - 07/09/1971,RV Teritu,Luna I,IK,333,322.58,,3.048,4,knots,92,,11.35893333,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,15,1,RV Teritu_9/18/1971_NA_NA,3,3664164.715,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,7,SL,NA,NA,7,NA,NA,NA,8078540,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.24998.015,email,25/03/2035,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.24998.015,NA,larv,none,1,Main Hawaiian Islands,Oahu,West coast,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,NA,9,NA,1971,02/09/1971 - 07/09/1971,RV Teritu,Luna I,IK,333,322.58,,3.048,4,knots,NA,,#VALUE!,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,NA,1,RV Teritu_9/NA/1971_NA_NA,NA,NA,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8002003,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.25000-028,email,25/03/2036,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-028,"Leis and Watson in U.R.S. Research Co., 1972",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"3/4, station D","nearshore, thin sand and coral",21.348024900,-158.13086420000,NA,NA,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,"station info from other_remarks column of AuMu sheet, collection finro filled in from Jeff's thesis, 34m at 400m??? [6m (at 200m deep water)]",night,0,1,1,1,"NA_7/5/1972_3/4, station D_night",1,673.6,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078577,NA,160.4987855,0.09,NA,NA,,,,,,NA,,,25.9,25.9,,-200,paper,1049
